name,state_postal_abbreviation,description,latitude,longitude,egrid_subregion_abbreviation,climate_division_name
00001,,,,,,AK6
00002,,,,,,AK8
00003,,,,,,AK6
00004,,,,,,AK6
00005,,,,,,AK6
00006,AK,,,,AKGD,AK5
00007,AK,,,,AKMS,AK9
00009,,,,,,AK8
00010,AK,,,,AKMS,AK7
00011,AK,,,,AKGD,AK2
00012,CA,,,,CAMX,CA2
00014,AZ,,,,AZNM,AZ7
00015,AZ,,,,AZNM,AZ7
00016,CA,,,,CAMX,CA5
00017,CA,,,,CAMX,CA5
00018,CA,,,,CAMX,CA6
00019,CA,,,,CAMX,CA3
00020,CA,,,,CAMX,CA5
00022,CA,,,,CAMX,CA1
00026,CA,,,,CAMX,CA5
00027,CO,,,,RMPA,CO1
00028,CA,,,,CAMX,CA2
00029,CA,,,,CAMX,CA2
00031,CA,,,,CAMX,CA2
00032,CA,,,,CAMX,CA6
00033,CA,,,,NWPP,CA3
00034,CA,,,,NWPP,CA1
00035,CA,,,,NWPP,CA1
00037,CA,,,,CAMX,CA2
00038,CA,,,,CAMX,CA2
00039,CA,,,,CAMX,CA1
00040,CA,,,,CAMX,CA5
00041,FL,,,,FRCC,FL5
00042,FL,,,,FRCC,FL4
00043,FL,,,,FRCC,FL5
00044,CA,,,,CAMX,CA5
00045,FL,,,,FRCC,FL3
00047,CA,,,,CAMX,CA2
00048,CA,,,,CAMX,CA1
00049,CA,,,,NWPP,CA1
00050,CA,,,,CAMX,CA1
00051,CA,,,,CAMX,CA2
00052,CA,,,,CAMX,CA5
00053,FL,,,,FRCC,FL5
00054,CA,,,,CAMX,CA1
00055,CA,,,,CAMX,CA1
00056,ID,,,,NWPP,ID5
00057,,,,,,CA6
00058,CA,,,,CAMX,CA5
00059,MN,,,,MROW,MN3
00060,MN,,,,MROW,MN3
00061,,,,,,CA6
00063,MT,,,,NWPP,MT4
00064,NM,,,,AZNM,NM5
00065,CA,,,,CAMX,CA2
00066,NM,,,,AZNM,NM5
00067,OK,,,,SPSO,OK7
00068,OR,,,,NWPP,OR1
00069,OR,,,,NWPP,OR4
00070,OR,,,,NWPP,OR4
00071,UT,,,,NWPP,UT5
00072,WA,,,,NWPP,WA5
00073,WA,,,,NWPP,WA8
00074,WA,,,,NWPP,WA6
00076,WA,,,,NWPP,WA6
00077,OR,,,,NWPP,OR4
00084,NC,,,,SRVC,NC6
00087,FL,,,,FRCC,FL4
00097,FL,,,,FRCC,FL5
00098,FL,,,,FRCC,FL5
00100,UT,,,,NWPP,UT5
00116,,,,,,LA7
00119,LA,,,,SRMV,LA9
00120,LA,,,,SRMV,LA9
00121,LA,,,,SRMV,LA9
00122,,,,,,LA9
00125,,,,,,ME1
00126,,,,,,ME1
00127,ME,,,,NEWE,ME2
00128,,,,,,ME1
00130,ME,,,,NEWE,ME1
00132,,,,,,ME1
00133,,,,,,ME1
00134,ME,,,,NEWE,ME2
00135,ME,,,,NEWE,ME1
00137,ME,,,,NEWE,ME1
00138,ME,,,,NEWE,ME1
00139,ME,,,,NEWE,ME1
00140,,,,,,ME1
00141,ME,,,,NEWE,ME2
00145,,,,,,ME1
00147,,,,,,ME1
00148,,,,,,ME1
00151,ME,,,,NEWE,ME3
00152,MD,,,,RFCE,MD1
00157,,,,,,MA3
00158,MA,,,,NEWE,MA3
00160,MN,,,,MROW,MN3
00161,MN,,,,MROW,MN3
00164,MN,,,,MROW,MN2
00165,MN,,,,MROW,MN2
00166,MN,,,,MROW,MN2
00168,NH,,,,NEWE,NH1
00172,NH,,,,NEWE,NH2
00173,NH,,,,NEWE,NH1
00174,NH,,,,NEWE,NH1
00176,NH,,,,NEWE,NH1
00177,NH,,,,NEWE,NH1
00179,NH,,,,NEWE,NH1
00180,NH,,,,NEWE,NH1
00181,NH,,,,NEWE,NH1
00182,NH,,,,NEWE,NH1
00183,NH,,,,NEWE,NH1
00184,NH,,,,NEWE,NH1
00185,NH,,,,NEWE,NH1
00188,TX,,,,ERCT,TX9
00195,WA,,,,NWPP,WA1
00197,AZ,,,,AZNM,AZ6
00198,AK,,,,AKGD,AK5
00199,AZ,,,,AZNM,AZ6
00210,NH,Portsmouth,43.005895,-71.013202,,
00211,NH,Portsmouth,43.005895,-71.013202,,
00212,NH,Portsmouth,43.005895,-71.013202,,
00213,NH,Portsmouth,43.005895,-71.013202,,
00214,NH,Portsmouth,43.005895,-71.013202,,
00215,NH,Portsmouth,43.005895,-71.013202,,
00501,NY,Holtsville,40.922326,-72.637078,NYLI,NY4
00544,NY,Holtsville,40.922326,-72.637078,NYLI,NY4
00601,PR,Adjuntas,18.180103,-66.74947,,
00602,PR,Aguada,18.363285,-67.18024,,
00603,PR,Aguadilla,18.448619,-67.13422,,
00604,PR,Aguadilla,18.498987,-67.13699,,
00605,PR,Aguadilla,18.465162,-67.141486,,
00606,PR,Maricao,18.182151,-66.9588,,
00607,PR,Aguas Buenas,18.256995,-66.104657,,
00609,PR,Aibonito,18.142002,-66.273278,,
00610,PR,Anasco,18.288319,-67.13604,,
00611,PR,Angeles,18.279531,-66.80217,,
00612,PR,Arecibo,18.449732,-66.69879,,
00613,PR,Arecibo,18.458093,-66.732732,,
00614,PR,Arecibo,18.429675,-66.674506,,
00615,PR,Arroyo,17.96977,-66.061459,,
00616,PR,Bajadero,18.426748,-66.67669,,
00617,PR,Barceloneta,18.455499,-66.55575,,
00618,PR,Barranquitas,18.185463,-66.305827,,
00622,PR,Boqueron,18.003125,-67.16745,,
00623,PR,Cabo Rojo,18.08643,-67.15222,,
00624,PR,Penuelas,18.055399,-66.72602,,
00625,PR,Caguas,18.232109,-66.039087,,
00626,PR,Caguas,18.235003,-66.037318,,
00627,PR,Camuy,18.435246,-66.85644,,
00631,PR,Castaner,18.186739,-66.85174,,
00633,PR,Cayey,18.194527,-66.183467,,
00634,PR,Cayey,18.111528,-66.177083,,
00635,PR,Ceiba,18.262902,-65.646529,,
00636,PR,Rosario,18.113284,-67.039706,,
00637,PR,Sabana Grande,18.073078,-66.94864,,
00638,PR,Ciales,18.308139,-66.49835,,
00639,PR,Cidra,18.176094,-66.158728,,
00640,PR,Coamo,18.077197,-66.359104,,
00641,PR,Utuado,18.268896,-66.70519,,
00643,PR,Corozal,18.341254,-66.315194,,
00644,PR,Coto Laurel,18.049577,-66.55218,,
00645,PR,Culebra,18.308508,-65.304732,,
00646,PR,Dorado,18.442798,-66.27689,,
00647,PR,Ensenada,17.964529,-66.93993,,
00648,PR,Fajardo,18.333038,-65.656182,,
00650,PR,Florida,18.363331,-66.56773,,
00652,PR,Garrochales,18.457453,-66.61217,,
00653,PR,Guanica,17.992112,-66.90097,,
00654,PR,Jobos,17.979518,-66.117219,,
00655,PR,Olimpo,17.976371,-66.116795,,
00656,PR,Guayanilla,18.038866,-66.79168,,
00658,PR,Gurabo,18.254137,-65.973605,,
00659,PR,Hatillo,18.432956,-66.80039,,
00660,PR,Hormigueros,18.139108,-67.12085,,
00661,PR,Humacao,18.150829,-65.826595,,
00662,PR,Isabela,18.478855,-67.01973,,
00664,PR,Jayuya,18.212565,-66.59243,,
00665,PR,Ponce,18.044224,-66.502103,,
00666,PR,Juncos,18.228952,-65.921356,,
00667,PR,Lajas,18.017819,-67.04226,,
00669,PR,Lares,18.288418,-66.87503,,
00670,PR,Las Marias,18.241343,-66.97604,,
00671,PR,Las Piedras,18.1789,-65.869939,,
00674,PR,Manati,18.426137,-66.48697,,
00676,PR,Moca,18.37956,-67.08424,,
00677,PR,Rincon,18.336121,-67.23675,,
00678,PR,Quebradillas,18.442334,-66.93275,,
00680,PR,Mayaguez,18.205232,-67.12655,,
00681,PR,Mayaguez,18.219023,-67.508068,,
00682,PR,Mayaguez,18.208402,-67.15428,,
00683,PR,San German,18.092807,-67.04524,,
00685,PR,San Sebastian,18.332595,-66.98104,,
00687,PR,Morovis,18.31708,-66.41528,,
00688,PR,Sabana Hoyos,18.40415,-66.61348,,
00690,PR,San Antonio,18.495369,-67.09867,,
00692,PR,Vega Alta,18.419666,-66.33186,,
00693,PR,Vega Baja,18.440667,-66.3921,,
00694,PR,Vega Baja,18.443109,-66.398302,,
00698,PR,Yauco,18.06547,-66.85587,,
00703,PR,Aguas Buenas,18.246205,-66.12827,,
00704,PR,Aguirre,17.970112,-66.22291,,
00705,PR,Aibonito,18.12942,-66.26541,,
00707,PR,Maunabo,18.014505,-65.91018,,
00714,PR,Arroyo,17.987288,-66.05552,,
00715,PR,Mercedita,18.003492,-66.55868,,
00716,PR,Ponce,17.999066,-66.59965,,
00717,PR,Ponce,18.004303,-66.61374,,
00718,PR,Naguabo,18.22048,-65.74293,,
00719,PR,Naranjito,18.294571,-66.25098,,
00720,PR,Orocovis,18.217827,-66.42265,,
00721,PR,Palmer,18.364161,-65.778288,,
00723,PR,Patillas,18.023196,-66.0131,,
00725,PR,Caguas,18.233927,-66.04502,,
00726,PR,Caguas,18.212965,-66.058033,,
00728,PR,Ponce,18.013353,-66.65218,,
00729,PR,Canovanas,18.35615,-65.89089,,
00730,PR,Ponce,18.022626,-66.61727,,
00731,PR,Ponce,18.077329,-66.61192,,
00732,PR,Ponce,18.021781,-66.613742,,
00733,PR,Ponce,18.019331,-66.619165,,
00734,PR,Ponce,17.999499,-66.643934,,
00735,PR,Ceiba,18.258444,-65.65987,,
00736,PR,Cayey,18.112895,-66.15377,,
00737,PR,Cayey,18.102967,-66.139274,,
00738,PR,Fajardo,18.32265,-65.66116,,
00739,PR,Cidra,18.16984,-66.16271,,
00740,PR,Puerto Real,18.331711,-65.62761,,
00741,PR,Punta Santiago,18.160755,-65.75765,,
00742,PR,Roosevelt Roads,18.264872,-65.594769,,
00744,PR,Rio Blanco,18.206329,-65.743058,,
00745,PR,Rio Grande,18.366213,-65.82277,,
00747,PR,Lluveras,18.069474,-66.952589,,
00748,PR,Fajardo,18.326732,-65.652484,,
00751,PR,Salinas,17.993803,-66.26534,,
00752,PR,San Antonio,18.493745,-67.097726,,
00754,PR,San Lorenzo,18.15633,-65.96831,,
00757,PR,Santa Isabel,17.98631,-66.39457,,
00761,PR,Utuado,18.265445,-66.702364,,
00762,PR,Vega Alta,18.420218,-66.324284,,
00763,PR,Monserrate,18.452175,-66.399836,,
00764,PR,Vega Baja,18.452084,-66.397138,,
00765,PR,Vieques,18.125664,-65.45603,,
00766,PR,Villalba,18.126023,-66.48208,,
00767,PR,Yabucoa,18.072752,-65.89703,,
